category,baseline_rolling_mean_cost,ml_95_cost,cost_delta_ml95_vs_baseline,sku_count
Garden,1841.3560205479453,823.0849315068493,-1018.271089041096,40
Toys,701.1958561643836,362.56535616438356,-338.63050000000004,50
Electronics,1199.4961506849315,900.290801369863,-299.2053493150685,50
Grocery,790.4376849315067,509.1874315068493,-281.2502534246575,35
Meat,629.1724863013699,439.29894520547947,-189.8735410958904,55
Beauty,125.05961643835616,31.651047945205477,-93.40856849315068,40
Health,241.1106712328767,159.23188356164383,-81.87878767123287,55
Baby,88.66783561643837,25.61302739726027,-63.05480821917809,25
Beverages,180.1757602739726,132.27047260273972,-47.905287671232884,50
Bakery,265.7026369863014,229.04362328767124,-36.65901369863013,40
Household,376.2670410958904,344.3840205479452,-31.88302054794519,70
Office,458.2214520547945,462.1840410958904,3.9625890410959137,85
Pet,393.63671917808216,417.7501438356164,24.11342465753426,80
Automotive,28.088301369863014,52.70506164383561,24.616760273972602,35
Produce,705.6271095890411,732.368506849315,26.741397260274045,40
Frozen,85.6323493150685,140.60183561643836,54.96948630136986,35
Apparel,30.953650684931507,88.9532191780822,57.99956849315068,35
Home,536.4671643835617,631.2418630136987,94.77469863013702,70
Dairy,635.0744657534246,808.7813698630138,173.70690410958912,55
Seasonal,721.1135,1060.1301780821918,339.01667808219173,55
