category,n_rows,mean_actual,mae,rmse,wape,smape,bias
Dairy,768,2.21875,0.024182025645352868,0.06151281751272711,0.010898941135933687,0.42359079969829777,-0.004399778105801188
Frozen,488,2.0512295081967213,0.020498444912544267,0.04467801211376552,0.00999324786945215,0.2979942559917793,7.484186790053845e-05
Garden,559,2.4561717352415027,0.06913301976004228,0.26774613915807133,0.028146655532311462,0.5848292317943491,0.0013370063601768037
Health,769,2.4798439531859557,0.03827929145156063,0.13441047194433436,0.015436169442186745,0.5099555563069385,-0.002813428312996948
Home,979,1.5168539325842696,0.01336467079816783,0.0369693384684993,0.008810782970643976,0.5405399341412105,-0.0010025291319160944
Office,1189,1.2994112699747686,0.012171481271024085,0.04120358580511294,0.00936691989077517,0.6926209063233594,0.0009708622853649005
Pet,1117,2.484333034914951,0.04322282924565453,0.1440483787129492,0.01739816225852112,0.627275187890603,-0.0021860317858267146
Produce,560,2.2410714285714284,0.028142854839146414,0.07997134856538739,0.012557767896352184,0.346644148898915,-0.002118153702864487
Seasonal,770,2.6675324675324674,0.0307931143310264,0.11592639736986556,0.011543669929352643,0.24147085641768967,-0.0038266685383787848
Toys,698,2.187679083094556,0.03330508781609919,0.10336635892988784,0.015223936670358375,0.5779941830548097,-0.0006439050170876345
